graph,method,R,mean_EAT,std_EAT,mean_ECC,std_ECC,bottleneck_cross_coverage,std_bottleneck_cross_coverage,node_coverage,std_node_coverage,edge_coverage,std_edge_coverage
real_world,budget_rw,0,4.95044,0.04122824274693239,9.90276,0.057563947050215454,0.9058823529411765,0.038348249442368455,0.5378892733564014,0.011235688938834318,0.3269230769230769,0.005496749523798359
real_world,budget_rw,1,6.24436,0.18606613877866116,12.4768,0.35193399949422316,0.9705882352941175,0.020797258270192645,0.6801038062283737,0.016291938430260503,0.4897435897435898,0.012651377459908348
real_world,budget_rw,2,6.739400000000001,0.22516931407276583,13.517240000000001,0.4379441608241856,1.0,0.0,0.7653979238754325,0.013224264350448392,0.6002262443438914,0.012634508199380824
real_world,budget_rw,3,7.101519999999999,0.08905387133639932,14.25608,0.20523735527432624,1.0,0.0,0.8108996539792388,0.002971550871508233,0.6656108597285069,0.005381731105787159
real_world,budget_rw,4,7.368080000000001,0.2977818866217353,14.825,0.6110731543767901,1.0,0.0,0.8385813148788926,0.009760147202469455,0.7156862745098039,0.005093987966103412
real_world,hrw,0,4.95044,0.04122824274693239,9.90276,0.057563947050215454,0.9058823529411765,0.038348249442368455,0.5378892733564014,0.011235688938834318,0.3269230769230769,0.005496749523798359
real_world,hrw,1,1.97104,0.14057612884127943,3.9181199999999996,0.2810749935515433,1.0,0.0,0.963840830449827,0.010351747613599735,0.9153846153846155,0.016030298320686632
real_world,hrw,2,0.35588,0.0273370078830877,0.70852,0.053298705425178956,1.0,0.0,1.0,0.0,0.9997737556561086,0.0003372651549773271
real_world,hrw,3,0.02484,0.0063661605383464855,0.04992,0.011171033971839847,1.0,0.0,1.0,0.0,1.0,0.0
real_world,hrw,4,0.0024000000000000002,0.0016911534525287763,0.00572,0.004153552696186723,1.0,0.0,1.0,0.0,1.0,0.0
real_world,node2vec,0,4.872400000000001,0.050816335956068076,9.763760000000001,0.07845411397753459,0.9294117647058823,0.0446051496708915,0.5522491349480969,0.011485987043909874,0.3369532428355958,0.00750651775968206
real_world,node2vec,1,5.79216,0.12266616485404559,11.58468,0.22454703738860568,0.9882352941176471,0.016109486985446064,0.7250865051903114,0.009304838622508554,0.5227752639517346,0.008683349746730285
real_world,node2vec,2,6.11324,0.10702461399136183,12.25484,0.23403454445871902,1.0,0.0,0.8038062283737023,0.0043853951057566355,0.6366515837104073,0.007047348900236266
real_world,node2vec,3,6.28956,0.22326851099069028,12.570879999999999,0.4486621356878695,1.0,0.0,0.8489619377162629,0.010952390682018276,0.710708898944193,0.009618711162661202
real_world,node2vec,4,6.0552,0.2727301963479658,12.15376,0.6773784968538635,1.0,0.0,0.8861591695501729,0.014182630817937192,0.763499245852187,0.01058631214997243
real_world,non_backtracking_rw,0,4.74876,0.022868493610205123,9.513079999999999,0.05911321341290813,0.9647058823529411,0.03834824944236856,0.5865051903114187,0.013047667066607621,0.39464555052790345,0.005063191383970358
real_world,non_backtracking_rw,1,5.64776,0.07620700755179932,11.34324,0.22692974243144098,0.9941176470588236,0.01315334104411642,0.7389273356401383,0.013476498089870231,0.5806184012066364,0.01125677716865474
real_world,non_backtracking_rw,2,5.85164,0.2576964648573977,11.76804,0.4861206928325512,1.0,0.0,0.8181660899653979,0.0167337800965439,0.6941176470588235,0.01607856578857664
real_world,non_backtracking_rw,3,6.11716,0.3663558761641474,12.22692,0.6352164450012302,1.0,0.0,0.8557093425605536,0.010132560874980184,0.7543740573152338,0.010328659333793492
real_world,non_backtracking_rw,4,6.060840000000001,0.29578341400423397,12.10848,0.5944232431525538,1.0,0.0,0.8870242214532871,0.008834547703589466,0.808974358974359,0.010304540604763806
real_world,simple_rw,0,4.95044,0.04122824274693239,9.90276,0.057563947050215454,0.9058823529411765,0.038348249442368455,0.5378892733564014,0.011235688938834318,0.3269230769230769,0.005496749523798359
real_world,simple_rw,1,7.80236,0.11689776730117625,15.611160000000002,0.18283710783098736,0.9058823529411765,0.038348249442368455,0.5378892733564014,0.011235688938834318,0.3269230769230769,0.005496749523798359
real_world,simple_rw,2,10.65428,0.19471638862715168,21.319560000000003,0.31457540908341797,0.9058823529411765,0.038348249442368455,0.5378892733564014,0.011235688938834318,0.3269230769230769,0.005496749523798359
real_world,simple_rw,3,13.506200000000002,0.27285146142177735,27.02796,0.4471000424960848,0.9058823529411765,0.038348249442368455,0.5378892733564014,0.011235688938834318,0.3269230769230769,0.005496749523798359
real_world,simple_rw,4,16.35812,0.3510917714786272,32.736360000000005,0.5798721307322829,0.9058823529411765,0.038348249442368455,0.5378892733564014,0.011235688938834318,0.3269230769230769,0.005496749523798359
synthetic,budget_rw,0,6.273000000000001,0.027623902693138528,12.54996,0.056238669970048644,0.09875,0.018957188610128878,0.20535937499999996,0.0013382541134873025,0.049172468354430336,0.000127149638316253
synthetic,budget_rw,1,10.032160000000001,0.06958568818370583,20.04912,0.13898176858854558,0.185,0.012960275845829814,0.3121484375,0.0017242897229955581,0.0890411392405063,0.00048773589808529736
synthetic,budget_rw,2,13.12416,0.13964178457753942,26.2674,0.27919237095594185,0.23874999999999996,0.019465514377996786,0.37563281249999997,0.0012829518993991347,0.12347310126582274,0.00024184804379166197
synthetic,budget_rw,3,15.9676,0.10838422394426239,31.90592,0.2637850488560711,0.3075,0.018957188610128864,0.415546875,0.0015960748209229614,0.15376424050632903,0.0005121794138412991
synthetic,budget_rw,4,18.60868,0.19528249281489643,37.210719999999995,0.36852838696632195,0.36625,0.016298006013006627,0.4443671875,0.001736283086100323,0.18152056962025315,0.0010987212345384865
synthetic,hrw,0,6.273000000000001,0.027623902693138528,12.54996,0.056238669970048644,0.09875,0.018957188610128878,0.20535937499999996,0.0013382541134873025,0.049172468354430336,0.000127149638316253
synthetic,hrw,1,7.290439999999999,0.14594049472302031,14.514159999999999,0.2634217303109212,0.5962500000000001,0.050505259627092264,0.5181484375000001,0.0031057266991926565,0.2971977848101265,0.0018706169059849807
synthetic,hrw,2,6.44152,0.24272727906026564,12.901599999999998,0.46205224812784934,0.9925,0.005229125165837957,0.7030859375,0.01125972751104778,0.5645759493670887,0.007555180095446803
synthetic,hrw,3,1.72956,0.10970190517944521,3.4465600000000003,0.24105445028042935,1.0,0.0,0.9635234374999999,0.005229883800842258,0.8135854430379746,0.007824441882505964
synthetic,hrw,4,0.21508,0.021991180050192852,0.43948,0.03937552539332016,1.0,0.0,0.999796875,0.00011848242881331234,0.9886344936708861,0.0031312707473724406
synthetic,node2vec,0,6.23576,0.012908446846929298,12.474639999999999,0.034023344926681964,0.10874999999999999,0.024044230077089175,0.21524999999999994,0.0019680290718722348,0.05175791139240502,0.00027911634589494836
synthetic,node2vec,1,9.92748,0.07443743681777303,19.8442,0.1356473368702823,0.185,0.021919597395937733,0.32578125,0.0011465359469874444,0.09403955696202529,0.00019504430492703627
synthetic,node2vec,2,12.874559999999999,0.04857723746776874,25.71568,0.13155604129039355,0.26125,0.027027185388049577,0.3884609375,0.0007612678954177247,0.1305268987341772,0.00027151179507158544
synthetic,node2vec,3,15.62348,0.14692029131471235,31.241719999999997,0.3234673275618422,0.34500000000000003,0.032894243417351914,0.43,0.002289409103452013,0.1634905063291139,0.00041920675972922976
synthetic,node2vec,4,18.19376,0.2540757918417255,36.467,0.47314532651184543,0.41875,0.04592793267718461,0.4564296875,0.0030565751041300294,0.1918623417721519,0.0008237085552116604
synthetic,non_backtracking_rw,0,6.20516,0.02266821563334867,12.42228,0.02724944036122484,0.08125,0.010825317547305481,0.22281249999999994,0.0017623638993329092,0.05463765822784807,0.00012687860884006444
synthetic,non_backtracking_rw,1,9.82248,0.04752233159263097,19.655720000000002,0.0978639463745452,0.19375,0.018750000000000003,0.3339140625,0.0017406716359327056,0.09976582278481008,0.0002865409783162713
synthetic,non_backtracking_rw,2,12.82124,0.06325020158070628,25.58196,0.17489976558017475,0.285,0.04321096504360901,0.3979453124999999,0.0020799818419617597,0.1385806962025316,0.0005005042222060645
synthetic,non_backtracking_rw,3,15.47064,0.12912717761958548,30.9,0.32329599440760065,0.35750000000000004,0.03518922065064811,0.4363046875,0.002743650562335368,0.17261550632911388,0.0005533904471720974
synthetic,non_backtracking_rw,4,18.05048,0.20481301716443623,36.19948,0.4350942794383754,0.41375,0.03289424341735192,0.4628671875,0.0022958317677607165,0.20338607594936703,0.0007308516727772871
synthetic,simple_rw,0,6.273000000000001,0.027623902693138528,12.54996,0.056238669970048644,0.09875,0.018957188610128878,0.20535937499999996,0.0013382541134873025,0.049172468354430336,0.000127149638316253
synthetic,simple_rw,1,11.07756,0.06914367650045809,22.162200000000002,0.1255139036123097,0.09875,0.018957188610128878,0.20535937499999996,0.0013382541134873025,0.049172468354430336,0.000127149638316253
synthetic,simple_rw,2,15.88212,0.11180980279027464,31.77444,0.19605669588157418,0.09875,0.018957188610128878,0.20535937499999996,0.0013382541134873025,0.049172468354430336,0.000127149638316253
synthetic,simple_rw,3,20.686680000000003,0.15467653991475278,41.38668,0.26686373301743316,0.09875,0.018957188610128878,0.20535937499999996,0.0013382541134873025,0.049172468354430336,0.000127149638316253
synthetic,simple_rw,4,25.491239999999998,0.19761338011379692,50.99892,0.33776887363994706,0.09875,0.018957188610128878,0.20535937499999996,0.0013382541134873025,0.049172468354430336,0.000127149638316253
